CUSTOMER_ID,COUNTRY,AGE,CUSTOMER_CODE,PHONE
0000000001,US,19,CUS-43321,1CBFNO6B9M
0000000002,FR,32,CUS-79402,RJNVGFYGWW
0000000003,DE,69,CUS-07816,XMECOSFOGY
0000000004,DE,47,CUS-52553,K8PK3YR9OU
0000000005,US,32,CUS-05641,N5Z3JQIP98
0000000006,DE,65,CUS-96965,65FDHJK1EY
0000000007,FR,56,CUS-78480,8RVHS1K3AQ
0000000008,IN,50,CUS-14893,87AU5BHXTP
0000000009,US,33,CUS-91171,
0000000010,IN,26,CUS-78248,
0000000011,FR,79,CUS-38346,
0000000012,DE,46,CUS-87133,9OOAEDOECV
0000000013,US,50,CUS-34738,P40MGG1W10
0000000014,FR,73,CUS-01065,
0000000015,US,33,CUS-33872,3PE29GD8AF
0000000016,IN,28,CUS-67736,
0000000017,IN,42,CUS-06474,JMSND8DUDD
0000000018,FR,50,CUS-82081,
0000000019,US,56,CUS-13619,F07UQNUPQZ
0000000020,IN,60,CUS-47510,E8N6QIWEPX
0000000021,DE,28,CUS-78498,GIQHG9JRSN
0000000022,DE,31,CUS-48740,RCAVIQK291
0000000023,US,25,CUS-12805,1ICTXCWNPG
0000000024,DE,67,CUS-86923,
0000000025,IN,74,CUS-60256,
0000000026,IN,35,CUS-21607,WTOOBMZVRE
0000000027,DE,40,CUS-86850,LQCG1WU16H
0000000028,FR,75,CUS-93406,X1EVUHT6T0
0000000029,DE,43,CUS-48236,LTZ9ATSN1U
0000000030,FR,46,CUS-73872,6VFPTOMJBC
