CUSTOMER_ID,COUNTRY_UNIFORM,COUNTRY_WEIGHTED,AGE,PHONE
0000000001,US,US,41,
0000000002,US,IN,49,1338908386
0000000003,IN,US,38,
0000000004,IN,IN,62,2351161559
0000000005,DE,DE,40,
0000000006,FR,US,30,9593103413
0000000007,US,US,24,5341928327
0000000008,FR,US,47,
0000000009,IN,IN,52,0564139537
0000000010,FR,DE,28,2423884969
0000000011,FR,US,47,0122691669
0000000012,FR,IN,42,
0000000013,US,IN,58,
0000000014,DE,US,56,7048281489
0000000015,IN,US,43,
0000000016,US,IN,30,1543039117
0000000017,US,FR,37,8248963834
0000000018,FR,FR,41,7871331509
0000000019,IN,IN,58,1051834738
0000000020,IN,IN,43,
0000000021,FR,US,32,6566701065
0000000022,US,US,44,7262473178
0000000023,US,US,61,
0000000024,IN,US,42,3602606474
0000000025,FR,IN,40,7234309805
0000000026,US,US,25,8208121913
0000000027,FR,US,48,9169985435
0000000028,IN,US,37,4751079911
0000000029,IN,IN,48,3542784980
0000000030,DE,DE,49,2411824493
0000000031,DE,US,37,0164005242
0000000032,FR,IN,36,0112805982
0000000033,FR,US,34,
0000000034,US,DE,62,3158692322
0000000035,FR,US,41,
0000000036,IN,US,33,
0000000037,US,US,53,7543303654
0000000038,US,FR,45,8685014294
0000000039,US,US,27,9816934060
0000000040,IN,US,48,5951484656
0000000041,DE,IN,47,2994680443
0000000042,FR,IN,56,5777387214
0000000043,DE,US,49,3200379176
0000000044,IN,IN,40,6320163287
0000000045,US,IN,46,7889579868
0000000046,FR,DE,39,
0000000047,FR,US,42,8734714345
0000000048,DE,DE,23,2362316658
0000000049,FR,US,45,
0000000050,US,DE,52,
0000000051,FR,US,50,6889373467
0000000052,US,US,39,6272980699
0000000053,US,US,24,4653755646
0000000054,DE,DE,51,8053100330
0000000055,IN,US,37,
0000000056,FR,IN,43,
0000000057,IN,IN,58,
0000000058,IN,FR,38,0496631931
0000000059,DE,DE,38,
0000000060,US,US,39,5185067165
0000000061,FR,IN,27,
0000000062,DE,IN,48,
0000000063,FR,US,48,3147379965
0000000064,US,US,30,7354549480
0000000065,IN,US,40,
0000000066,FR,IN,31,0143634957
0000000067,DE,US,42,
0000000068,DE,US,33,3518233749
0000000069,DE,FR,46,4082400842
0000000070,FR,US,35,4777520471
0000000071,US,US,55,2941318699
0000000072,IN,IN,48,7496499091
0000000073,IN,IN,42,8120679740
0000000074,IN,US,46,7134936183
0000000075,IN,DE,44,4994717464
0000000076,FR,US,39,6594013990
0000000077,DE,IN,43,7429671756
0000000078,DE,US,36,2567468071
0000000079,DE,US,55,
0000000080,US,IN,53,6038597703
0000000081,DE,IN,52,1093248086
0000000082,US,US,37,
0000000083,US,US,56,4846773782
0000000084,FR,US,55,2146584044
0000000085,FR,DE,31,8675339636
0000000086,US,US,46,6627028951
0000000087,FR,US,43,2174596158
0000000088,FR,FR,41,7809134316
0000000089,US,IN,41,4005045562
0000000090,IN,IN,38,2221969379
0000000091,IN,US,35,7482175946
0000000092,DE,US,34,6713695944
0000000093,US,FR,38,0974395339
0000000094,DE,IN,35,
0000000095,IN,IN,54,7095214562
0000000096,IN,US,34,5884247451
0000000097,FR,FR,59,
0000000098,FR,FR,62,
0000000099,DE,US,36,5496513709
0000000100,DE,DE,47,1746120047
0000000101,US,US,46,8692617964
0000000102,US,IN,38,7351585064
0000000103,IN,FR,60,3900532931
0000000104,IN,IN,36,
0000000105,IN,US,55,2284210205
0000000106,IN,IN,59,4026811775
0000000107,US,US,44,
0000000108,DE,US,56,
0000000109,US,FR,48,7115921249
0000000110,DE,US,33,4789611836
0000000111,FR,DE,26,1565452711
0000000112,US,US,52,5280988516
0000000113,DE,DE,52,
0000000114,US,FR,38,5198327315
0000000115,DE,US,41,8998094024
0000000116,DE,DE,49,2296120183
0000000117,FR,US,37,
0000000118,US,DE,50,9014767976
0000000119,DE,US,33,9784036900
0000000120,IN,US,41,2445107622
0000000121,FR,IN,44,5160607159
0000000122,FR,IN,55,
0000000123,FR,US,20,9751613696
0000000124,US,US,57,5352181883
0000000125,DE,US,56,1243292127
0000000126,FR,IN,38,
