CUSTOMER_ID,COUNTRY,AGE,CUSTOMER_CODE,PHONE
CUS0000001,IN,19,CUS-43321,1CBFNO6B9M
CUS0000002,IN,62,CUS-86379,K1VRJNVGFY
CUS0000003,US,72,CUS-59407,F9SXMECOSF
CUS0000004,DE,73,CUS-16475,NREK8PK3YR
CUS0000005,FR,58,CUS-83503,
CUS0000006,DE,43,CUS-41395,Z3JQIP98Q1
CUS0000007,DE,43,CUS-53287,HJK1EYY37Q
CUS0000008,FR,73,CUS-01845,K3AQ6L6GT6
CUS0000009,IN,27,CUS-52880,BHXTPDPFF5
CUS0000010,DE,80,CUS-82278,N8MTZX272H
CUS0000011,US,22,CUS-50983,EDOECVE6PR
CUS0000012,IN,31,CUS-82997,0MGG1W103D
CUS0000013,IN,80,CUS-10651,82I1LR3PE2
CUS0000014,DE,72,CUS-81080,
CUS0000015,DE,72,CUS-32677,DKYAYQ3S19
CUS0000016,IN,49,CUS-23430,UDD467KD6F
CUS0000017,DE,22,CUS-91361,
CUS0000018,IN,55,CUS-90916,QNUPQZIT3U
CUS0000019,DE,77,CUS-10799,
CUS0000020,US,31,CUS-84251,
CUS0000021,US,28,CUS-78498,GIQHG9JRSN
CUS0000022,IN,31,CUS-48740,RCAVIQK291
CUS0000023,IN,25,CUS-12805,1ICTXCWNPG
CUS0000024,US,53,CUS-69232,
CUS0000025,DE,74,CUS-60256,
CUS0000026,DE,69,CUS-34216,
CUS0000027,DE,32,CUS-37543,ZVRERW6Z8V
CUS0000028,DE,25,CUS-42940,WU16HYMQC1
CUS0000029,US,77,CUS-83561,
CUS0000030,DE,57,CUS-51484,ZS9IM0YLTZ
CUS0000031,IN,18,CUS-44369,322N64KFS6
CUS0000032,IN,57,CUS-51343,
CUS0000033,US,20,CUS-37917,Y5ZPJAG1OL
CUS0000034,DE,62,CUS-87083,
CUS0000035,US,26,CUS-78895,
CUS0000036,DE,57,CUS-86872,2QPR75PR2E
CUS0000037,IN,33,CUS-45581,YJNE00V830
CUS0000038,US,71,CUS-66909,WTY088O5OR
CUS0000039,US,19,CUS-65627,
CUS0000040,FR,52,CUS-06990,I3LDQYUN3U
CUS0000041,US,74,CUS-64641,WOECBPMBJP
CUS0000042,US,60,CUS-19374,HKTGBTYZME
CUS0000043,IN,71,CUS-31491,W81XE6VA05
CUS0000044,US,79,CUS-57262,8431RUPFR2
CUS0000045,US,47,CUS-99650,L5NWQVRR9A
CUS0000046,IN,30,CUS-13678,52BFSOZPTX
CUS0000047,US,51,CUS-56855,TQOHMUH8LM
CUS0000048,US,48,CUS-49894,
CUS0000049,DE,36,CUS-35240,RCD9SI5GAS
CUS0000050,US,46,CUS-52047,Z5EDJJTFPH
CUS0000051,IN,44,CUS-99938,T1TDGNNQFK
CUS0000052,US,53,CUS-12067,SCOSS3EOQM
CUS0000053,US,52,CUS-32421,S2H3TZR685
CUS0000054,US,56,CUS-06594,BRCL472RL1
CUS0000055,IN,49,CUS-17565,KV05SZ9C3F
CUS0000056,US,38,CUS-16808,M7X52DNR9I
CUS0000057,DE,46,CUS-71093,9A90FOH3HJ
CUS0000058,US,63,CUS-48467,
CUS0000059,US,53,CUS-26398,ER0V6RAST5
CUS0000060,DE,46,CUS-87558,3UMPYO0CU4
CUS0000061,IN,69,CUS-66270,G2G73AJ0JE
CUS0000062,US,80,CUS-45961,
CUS0000063,DE,72,CUS-86578,PSOF1GG2KT
CUS0000064,DE,20,CUS-50455,70LKLFYP5J
CUS0000065,US,58,CUS-47407,
CUS0000066,IN,28,CUS-17594,Q3TMY4GPYW
CUS0000067,IN,62,CUS-40640,5SOWOMQIGC
CUS0000068,US,46,CUS-09521,
CUS0000069,US,44,CUS-23285,KQ4SVH3EJO
CUS0000070,DE,64,CUS-68516,3XQYXGO4B9
CUS0000071,US,57,CUS-31746,CT5HGP8IY3
CUS0000072,US,78,CUS-86926,0RCXN22PXG
CUS0000073,FR,41,CUS-85064,3FNBDVPINE
CUS0000074,DE,53,CUS-39335,RJI8QLHBIA
CUS0000075,US,68,CUS-39502,07HE42X6G2
CUS0000076,IN,78,CUS-90847,D4Z1G52EFU
CUS0000077,IN,22,CUS-24998,7S361GH9N1
CUS0000078,US,32,CUS-65766,1UQXJ4EFFF
CUS0000079,US,65,CUS-52809,
CUS0000080,IN,60,CUS-16560,
CUS0000081,IN,40,CUS-19832,GW9XHRO199
CUS0000082,US,77,CUS-40244,
CUS0000083,US,29,CUS-29612,F7NY03VKXT
CUS0000084,IN,67,CUS-99102,FR21520RN6
CUS0000085,US,45,CUS-14978,OZDANTNIQS
CUS0000086,US,18,CUS-76226,69WEZC1B3E
CUS0000087,DE,54,CUS-69664,UK3XF1GP1Z
CUS0000088,IN,43,CUS-45352,76MWWJPGJQ
CUS0000089,US,56,CUS-21277,UUJ2E42TRD
CUS0000090,US,22,CUS-47700,EF6Y39C2MU
CUS0000091,IN,50,CUS-20715,
CUS0000092,US,59,CUS-20377,XXSY0VDVEV
CUS0000093,US,61,CUS-64492,WTZIFT9YVI
CUS0000094,IN,71,CUS-81685,LNV5MOIJES
CUS0000095,DE,24,CUS-88805,
CUS0000096,IN,56,CUS-62229,
CUS0000097,US,46,CUS-06537,O8PT4MX23S
CUS0000098,IN,50,CUS-86239,D4X9G7HSFK
CUS0000099,US,75,CUS-82613,
CUS0000100,DE,77,CUS-06068,FXOBUGVJIC
