CUSTOMER_ID,COUNTRY,AGE,CUSTOMER_CODE,PHONE
CUS0000001,US,30,CUS-92332,Y78F5M0NXY
CUS0000002,DE,31,CUS-27295,4UZCR9A1NX
CUS0000003,FR,52,CUS-17839,WINK2L6LCH
CUS0000004,US,48,CUS-61612,YVI7ZMDN2Q
CUS0000005,IN,70,CUS-25702,0HGHJSLL0J
CUS0000006,DE,74,CUS-85734,LE6SADVNYZ
CUS0000007,US,69,CUS-66658,XZ2OTOTGUN
CUS0000008,IN,63,CUS-36471,
CUS0000009,US,76,CUS-41845,Q1S0KSY2MY
CUS0000010,US,30,CUS-50543,
CUS0000011,IN,68,CUS-46365,H68MA7TK62
CUS0000012,DE,34,CUS-67889,MBGTECD0TX
CUS0000013,FR,58,CUS-99431,
CUS0000014,IN,43,CUS-24752,
CUS0000015,DE,73,CUS-66825,3YL44KE8P3
CUS0000016,IN,25,CUS-57150,AU0QKIDZCD
CUS0000017,US,32,CUS-84270,OMH5KRRXE9
CUS0000018,DE,67,CUS-82581,IIJ8FC6YKW
CUS0000019,DE,63,CUS-39992,V1MTLHJ57A
CUS0000020,US,76,CUS-13979,
CUS0000021,US,70,CUS-22754,ZBTKIAS9SS
CUS0000022,US,45,CUS-10529,UCYRO9JBSZ
CUS0000023,US,63,CUS-32860,KG1ABMILTD
CUS0000024,FR,34,CUS-29620,
CUS0000025,US,43,CUS-71293,4FX6KO5NG1
CUS0000026,IN,75,CUS-22732,
CUS0000027,US,59,CUS-88813,0Z79EPQUV5
CUS0000028,US,68,CUS-00605,SLRQA7SMXH
CUS0000029,US,42,CUS-24843,WOJFYBWUYP
CUS0000030,IN,67,CUS-10023,EA1H1FX519
CUS0000031,DE,67,CUS-84551,ECORUGRTPN
CUS0000032,US,46,CUS-80941,BS521U6P8G
CUS0000033,DE,43,CUS-31947,FBDFI0M1BB
CUS0000034,US,38,CUS-33106,
CUS0000035,DE,29,CUS-24261,0YGER7TQKR
CUS0000036,IN,20,CUS-91476,4N6T2Q6QL3
CUS0000037,US,30,CUS-58283,O91JAVZFA1
CUS0000038,US,47,CUS-11031,MHJQTL9MFH
CUS0000039,US,79,CUS-34658,48WNWICU9O
CUS0000040,DE,69,CUS-89672,78TBBWJI1C
CUS0000041,US,38,CUS-84528,9SCV1MKCLF
CUS0000042,US,45,CUS-88659,QGNWIEQGAX
CUS0000043,US,55,CUS-39194,
CUS0000044,US,75,CUS-22240,JP079IQT1Y
CUS0000045,US,79,CUS-50737,TP6CI3EW9I
CUS0000046,FR,77,CUS-58010,
CUS0000047,IN,77,CUS-07387,NCOJ1LI93S
CUS0000048,DE,19,CUS-04003,5ISWJCVX8M
CUS0000049,IN,79,CUS-42847,
CUS0000050,US,44,CUS-49470,QOLBK7OTQU
CUS0000051,US,43,CUS-24520,3R4ULUJD6Z
CUS0000052,IN,55,CUS-27381,V18UVNEFOP
CUS0000053,IN,42,CUS-23635,DF4YNQ2V6A
CUS0000054,FR,59,CUS-86965,J4XI423L37
CUS0000055,US,56,CUS-48797,C3MHW5AY1U
CUS0000056,DE,64,CUS-32186,
CUS0000057,DE,73,CUS-01293,QBWDCMCMON
CUS0000058,US,66,CUS-02747,WVPSB2GKCN
CUS0000059,IN,43,CUS-45527,45A4BQ8FVG
CUS0000060,FR,19,CUS-65025,RUQYKOT8FF
CUS0000061,IN,22,CUS-13156,
CUS0000062,FR,72,CUS-30284,
CUS0000063,US,71,CUS-05536,KBDJCTW4JD
CUS0000064,US,59,CUS-59435,
CUS0000065,US,34,CUS-61918,U5YXION163
CUS0000066,US,79,CUS-37348,V3NG9CLCMR
CUS0000067,DE,45,CUS-01120,EEFBRXXL2Y
CUS0000068,IN,45,CUS-27387,WLTTCNMC69
CUS0000069,US,59,CUS-39714,
CUS0000070,US,31,CUS-10271,MIK1EQFPN7
CUS0000071,IN,52,CUS-09797,72I938W4P6
CUS0000072,IN,24,CUS-21129,70SBSYLXDE
CUS0000073,IN,66,CUS-84522,W3KVXPNRRO
CUS0000074,IN,55,CUS-17927,3LNTB73RBX
CUS0000075,US,77,CUS-62984,Y6L8XMJB6G
CUS0000076,US,56,CUS-64869,
CUS0000077,IN,18,CUS-91799,WUGBHKPSNO
CUS0000078,IN,68,CUS-04367,
CUS0000079,DE,64,CUS-02391,81JN1TGFEV
CUS0000080,IN,27,CUS-38116,4M9V1UK2IO
CUS0000081,US,47,CUS-74565,N578B218DN
CUS0000082,DE,46,CUS-96703,8YKIOUYWE4
CUS0000083,US,30,CUS-68620,
CUS0000084,IN,30,CUS-45137,ZKBE6C7U6S
CUS0000085,US,72,CUS-07224,
CUS0000086,US,20,CUS-34979,CMF57JNK4V
CUS0000087,US,50,CUS-17992,ZOOQIJBQRW
CUS0000088,US,30,CUS-67941,XOIUAAI16A
CUS0000089,US,45,CUS-65315,JGC8WZCUSQ
CUS0000090,US,22,CUS-30418,7GT6G3OJIX
CUS0000091,IN,38,CUS-84613,
CUS0000092,FR,66,CUS-72589,HAKCEOW627
CUS0000093,US,55,CUS-67237,2HADVZQPTT
CUS0000094,IN,75,CUS-29015,MLO1LNDCAU
CUS0000095,US,45,CUS-74538,PROGVDAFED
CUS0000096,DE,60,CUS-62389,
CUS0000097,DE,63,CUS-35796,M2TY3QW57O
CUS0000098,IN,62,CUS-82539,Q27STTWMQL
CUS0000099,US,37,CUS-04693,ZLZG33ODB9
CUS0000100,US,52,CUS-93010,TPQVZHGH3L
