CUSTOMER_ID,COUNTRY,EMAIL,PHONE,TAX_ID,ADDRESS,ZERO_POPULATION_FIELD,FULL_POPULATION_FIELD
CUS0000001,US,POIG8F1CBFNO6B9M80,AK1VRJNVGF,GWWQC38HYF9S,,,MECOSFOGYR3XKX
CUS0000002,DE,EK8PK3YR9OUDOCUZRE,N5Z3JQIP98,,1ZXOI65FDHJK1EYY37Q9AH8RVHS1K3AQ6L6GT6MJXK87AU5,,PDPFF5E8I
CUS0000003,IN,KQ71N8MTZX272HPOEVB9OOAEDOE,,,,,5N8I4P40MGG1W10
CUS0000004,FR,,DZVGPMM82I,,3PE29GD8AFPK054NZDKYAYQ3S19,,SND8DUDD
CUS0000005,FR,KD6FLEEPZHPCF07UQNUPQZIT3U,,,,,GE8N6QIWEPXSK2
CUS0000006,DE,7A9TGIQHG9JRSNVNQ65QDF1RCAVIQK,,,9AHEJ8CX9J1ICTXCWNPGW90JPKL0BLV0PRKGY,,M3WTOOBM
CUS0000007,FR,RW6Z8VBHQLQC,WU16HYMQC1,,MX1EVUHT6T0UZS9IM0YLTZ9ATSN1U322N64KFS6VFPTO,,P4E30
CUS0000008,IN,5ZPJAG1OL73D9PH3I379U2,,,,,2K42QPR75PR2E
CUS0000009,DE,U8FIJOYJNE00V830DN0Y,,,Y4AWTY088O5,,YVZK3
CUS0000010,IN,,,,,,1I3LDQ
CUS0000011,FR,UVYR0QF4B8DWOECBPMBJPI4H,,,XKHKTGBTYZMEPGTHCW81XE6VA0,,3J1L7R8431
CUS0000012,DE,FR2P3YVB5UL5NWQVR,,,,,FP059P45
CUS0000013,FR,SOZPTX497W19,RTQOHMUH8L,,R7SGMSOXLTA8IRCD9SI5GAS442VLDQ4HEZ5EDJJT,,0O7Y22T1TDGNN
CUS0000014,DE,PL9EKA024SCOSS3,QM1H8OJRJE,,S2H3TZR6852FC1UQBFOBRCL472RL1,,4W0VUG
CUS0000015,IN,SZ9C3FUQUHZ6A830DM7X52DNR,,,,,BPKT9A
CUS0000016,FR,3HJ5S6R044P39,6IER0V6RAS,,,,5J284WV98Y3UMPY
CUS0000017,IN,,4YYJ5CI6VG,,,,AJ0JE4QVZFV8
CUS0000018,FR,,,,,,EPSOF1GG2KTBCU
CUS0000019,US,1JP70LKLFYP5JO3Q3QA3S,,E2WT1Q3TMY,,,SSBZRAD5SO
CUS0000020,DE,QIGCT2CXIFSU0LMI,,,,,KQ4SVH3EJ
CUS0000021,IN,,,,,,FZAQ8H3XQY
CUS0000022,DE,4B9UOE3T0HICCT5HG,Y3X80J0G50,,,,22PXGX8W
CUS0000023,US,H3FNBDVPINE9NNOV,,RJI8QLHBI,UBLQDI07HE42X6G26OC7T3BD4,,52EFUJ
CUS0000024,US,9UY7S361GH9N12O0V3Z0GU1UQXJ4E,F1GXI9D99V,0W1DSTWG6,OGW9XHRO199BRBLRTVWALJZEJBF7NY03VKXTUFDJ,,FR21520RN6HW1HS
CUS0000025,FR,COZDANTNIQSUHA51LIY,,,WEZC1B3EU1Z0SHZBUK3XF1GP1Z7FZTVOVKE6H76MWWJPG,,JEL532UUJ2E42T
CUS0000026,DE,6ET32CDXSEF6Y39C2MU46,2GVF6LCP22,,KXXSY0VDVEVG9YSQJVFJWTZIFT9YVI7F16XBXTLNV5MOIJESG,,CVIYJKLK2C0XP
CUS0000027,FR,O8PT4MX23SY670KMIQD4X9G7,,,R26J1FO2WB0DZ6XPYFXO,,VJICS4I42AFBQNJ
CUS0000028,FR,PTHDP03EH58B6PJS1AW,LF7XE78669,,CYXQBWEWPGVICW8VL34LIE3CSMCMCUT6Z84QCMSW,,VRHX1Z2YVL55X7R
CUS0000029,US,1L8SUGFUST21,W2CW1RDEZX,BJ2CIEPXXY,,,XX2EI7XZURPH
CUS0000030,US,7Y9HQQ2NS5MHIE2L2FUWE98ST,,X6OHMIP5BX,39IFETZ4700EIUE237WI9LI16DH7JTKKU,,SFQM9RIT8F6KJ
CUS0000031,IN,VCBFCQN0B58ST4PZT3EDK2043NVJU,,,ZIX69GUP3HR2PJGDSY0PKUUMK5635T5B,,PNWDDS54S8AG
CUS0000032,FR,XZXCZD9MX9SEY629RH,ZXV9XJM6Z6,,IV473J6IUUKZ,,V6685T4BX
CUS0000033,DE,TB4QOD4K7YJPCHMB2U0J0N0,,,,,I7N9U
CUS0000034,FR,L38V8WQ4MPR9TOTSN5U4,SH8YZWJSCS,,,,Q4NM8R9RIGPPD7O
CUS0000035,IN,V4GIA9K044MSUSDFO8CL0LC,,,LSCATGVS3875I63RMHVK3QLAVSMLZ16UFZGLI4UPA,,VTAQXPDH3
CUS0000036,DE,THSXOOI4J3X0948NPF727XEHD9,,,JKU72HN5F62D3I603D93TBZQANEC1WE8DE4CS0LI0XY2,,F8IWHL8Z7IO
CUS0000037,US,3818YOP3WJRMHC0BPNE,2DPCZ2O8ND,6SOUUPTJ7O,D9L195DWY7U00JTYL84POTJ3D90,,YPQNVF2
CUS0000038,DE,DRYCEM9N4NVTANMH,,,,,ZP9USY38
CUS0000039,DE,653G4UNXU0COJBQ90SJMV,59VQ553KWK,,5L8D7CEDA0IOEJAN63XD45BA890AB7R8SB61LGG7JPM7,,FXZ3POTFCFZ
CUS0000040,FR,DAKF51VG7CON4RCER8CLUBNJZ,,,PY8VYIF6WDG1OEVZUBR25OW9Y1LYFSPEFRJYJYUXGFAT2X,,L12996
CUS0000041,FR,W9FUYAS0YF9P,,,KIRTR5JEK1R0T4EXQP5M3GITAZVYV2V1IT,,4ULZUS5P
CUS0000042,DE,XHM8L9B3N2SE05ITPQJ1YE,Z8608CX8FG,,,,CZV1GAGQO679O2X
CUS0000043,FR,6JWB4GS0FHJWTV3N74W4G22UETCH,GKP7L9KV91,,,,L1ZBM21
CUS0000044,FR,NREG8LXUM3HQ57UY,,,W3LTFIUHPTHLXJ6Y0IY1L58L9K5SILU2,,5IMY9
CUS0000045,FR,025KFBOSCRO8SK3596HHR8X8C,,,1GPTC2QWF2HPNW1KINNDW8R,,SR6GI0DRI
CUS0000046,IN,PZ5JR0Y2EFZ6RX35UAF3,,,,,N1N5RUSV9I5
CUS0000047,DE,,,,3BHK23A1MITKRFXQFXKDZTO1FGAN4EIO72AAVH1I4EOYFGGUXT,,JE7AK2W
CUS0000048,IN,02NFGIHYW1UIPR,,,SBTN76MZSDP5YHP5E7AXUIY0X8L4EBEAQNCDZ6S601ZF88JR,,J8UZET1P
CUS0000049,US,H3DTLHAIAK5W77QKXIRHBV1,QE536XD5KX,QGHO6ACAPC,JLC90OUP0UREXH6DLO7CZE3STUF93AXMST,,5M8PJA0BO8
CUS0000050,DE,VAYTGN7P05,,,,,O70X3
CUS0000051,US,IZED1IPSQUZUU2ROEMIGJGK23U,N2T3QHFKTC,UJFPWZ6DTQ,,,99PG3GIHADOI
CUS0000052,IN,,QEBEM2IFVH,,DK1Z5BY1LWNLRR2JCPS5094DFRYI0M7P8BYW485,,YRLBUOBRD4
CUS0000053,DE,KGPPR8DOYWLLPUWBW,,,M58TL5CFDOOB74AVMIVLUDBJJH7XEXZGVTUIK15UL9WOLY,,LAZCLUO
CUS0000054,US,,PWUKFV2AQN,EWQGADY20K,,,YG4OK2ECSBUQG
CUS0000055,US,KE9FV4B1K1KDGVNM098QST,Z95JDXA1FS,MGBNKSF4HTZ4,F8YLXYXL2CQ23QORDJGFW80O9D,,84P4TFZC67J
CUS0000056,US,,NMIC1F1MJQ,EFY9Z9UR73A,,,H0JJGGGS8W0
CUS0000057,DE,4CLRZJZCZVPD4RXBVTTR5GOIT,,,R0FM2N057XD6KET6ZI7BLMMDPC3DXM,,ZHBPX52L49WWK
CUS0000058,DE,SBYDKNOONR06,4ILAOQTR1Y,,,,7ZGA6X9ST
CUS0000059,US,RURQTMJ7PDZUIB5SQ0ZY,,VO84W6TK9L,IQ9LVFOWOT0VXQS3H4DE4M6HY7T0DJIMV03JULF5,,DA2RNKK5FI
CUS0000060,FR,14YAC8MXAU7MBAPOWTIGY6,,,TS377V1IV5WM,,BOOINB6KHXC
CUS0000061,FR,,DGBDH02YH9,,NAT0G7RI0G6HSHG5MMQ,,0SKC95N4VP
CUS0000062,US,H5JF6EGQO3SQ,LCSXU1HGCA,KVW2RFXVLH,RY40KHIDKG042LYWBI45H02CEQUA7OV77G1P4WY,,DAK645KE5UPVRD
CUS0000063,IN,ZPF322F52UH5BGZ0C99AFT,,,VXDO3V94X2HGOAVWS97XGCK5I0GQMMHZN3MVG0C,,H236I5A7D9146L
CUS0000064,IN,GYU6Y0PRZVS2II,9U9NMNSWIL,,UHW9408S1A7GBYJDDMRKSQJDSN8CW2G9O9YP6SDYY0U9DAQM2O,,X8MMS2LELL6HYC1
CUS0000065,DE,KQAV3JCJUDT59W,7OL7E6K088,,ONVVXSN749AHW2PPCUYHYQ8SB7X6625C,,6FGK88AENN
CUS0000066,FR,,EJB3VCFEDL,,,,Q0Y2Z1UB
CUS0000067,FR,AECEW6GSTFS2YZB4K8OIZ8SJTXA,,,CAZ89FTNWN06JKLOQ,,D939ESEQGM5VWI
CUS0000068,IN,EMU52VTJXU1KAUPO1RXIV432WT59G,RI8MQEEB6B,,,,C9Q884JX
CUS0000069,FR,SI366FZX6APK6I2KLJ4WCO5OEQXO,7XY43CCUG7,,,,8LYYXE7QYO7ZWW
CUS0000070,FR,A6I2KOE6RNJLKXHO0VH444NK0BPCI,,,6CJDKQL7ZBSFN244KO0JL6QKV3EOYYIGBM760JGL4C86HF4I8A,,170XC71O4YWG1IQ
CUS0000071,FR,S80QMAA7H7AY,,,,,1QQ81XR
CUS0000072,FR,994LX994QTWZIHO2KGN6ZV9,,,,,AFJ41FEQOXFCYZ7
CUS0000073,DE,DL52AM7SMC67OKCXPAKFRZWZZM7AE,,,WWROM3ZAQL06G9E6SVH6Q8Q2Y4PV33B4HQEYOOU0W78AQ,,VE9L4UWNRLM5MPP
CUS0000074,DE,PWJGHF5A8C4XU5R5,ZOID7148C6,,3H73UAANYGUXQL9QPR4VX,,XXZR2LIOGRP
CUS0000075,FR,,4AL05I78U5,,DZGKDNQ4G2VQXX99QWB0HWM8LSWU652FYS3JKV0ZEFKVO,,ZR2X720KL
CUS0000076,US,QFNKZGGE49DBZ7FGQ,,YTOPS2II7,,,438R92I8L3
CUS0000077,FR,8TW48OF2TX0QJTAA7IWS48A54TA1SO,,,091ZPKYYOQF1P7RS8R0MEL,,2R5MUBJD8BLG
CUS0000078,DE,AOFJA5NV0T5X3CVFJDRZE84L,YAHPY2PCM3,,,,4YTUKC97
CUS0000079,US,TMXDNHP1UAKRHZPAC4JXFPK5FVDDWJ,,I5OU9W2MB,,,529S8
CUS0000080,FR,8WU3R9KE7J2SQ8X,LBXPUE8YM7,,,,U0UHG7ECI
CUS0000081,IN,,MGCY57QDXO,,,,5F3DX90X
CUS0000082,US,,ETEN7GGO8Y,M7PL990GW3,,,9Z6VK82
CUS0000083,DE,,,,,,1UP8NY9QX22ZACS
CUS0000084,US,ATONUBR969JGC3WJIQX,,OQTFZNEU4L,GTCYFDVW10HOAYDT7CU8JU6OJDZ26FO1SZJIVF4D9ZQFZ6,,49M5ZM9
CUS0000085,IN,1UFH01XWMUWBTKW2J2,MXJFHDPJSA,,T24BVN8NN87Q94JBY,,QKDSM
CUS0000086,DE,AEYRXGBSYOY6GU58FLM639BCP7TV5Z,,,WTP6RDQYB9ROJVZIFY7O0PJ1TV28INI8,,T7I1JKU
CUS0000087,US,LUJBU00T2RJMG,ROOOBWF4I6,XLY54IKMOC0A,,,MNEL25U3P1ZCYUZ
CUS0000088,US,3CP78ZC9Y7DMS2ZTS3K1SD7J,F6HL8IZ0U2,L3M3FQUKH,XF7Y6KY9YCKVJKJLD0TT2SLHIMAQA3558A5PN4,,AP9R9NDLJDWCJC
CUS0000089,DE,DG0LKS9L3XCF,,,E19ES4IHRV707NNDG7F4S1UQ7WI5755LOS,,3HN00
CUS0000090,US,NAMSQETT69UAHVVZBLMVV44CI4J,,30D7TU98BNV,,,RBVY8KY
CUS0000091,IN,UCR0F5PX2TN7TLHXCMF,46JMV47TUJ,,,,INC3Y7HATCFV3
CUS0000092,US,BTNUMMSR8U2HRJKRHA9,,8W9URJSPKE,82DIB4DGYDF1ZL2WTVM8F3IF3G3T34O,,QXZLVU35BE4HW4
CUS0000093,FR,,I6GZGU9ET8,,0PP9K4YEVN11V8PLE5H3U9G2LTZEGYU5DFNIAJJ28SY2MNU,,T1WFA6ZISDX9DA9
CUS0000094,DE,BP1ZUYZY18NL4IM9YX0,IAEBJ51IFI,,,,1L36192YWOL1A5
CUS0000095,IN,08XCC4XH4FJ7R37F7F,8TDV8A4364,,0WSSKCTQD4KDSBS5FI6ERQIRRQAHLJ2,,5L7CVFJJ
CUS0000096,FR,YP2KNWDQHDK3Z4T48OYY4QJ,,,2YU7CG8W1RVRRGQZ3PM7VLU9AAEA,,2WOSQMCBFDNHHFI
CUS0000097,FR,LHLQS3E3R1UQKERDYYVDQQL2E5MZL5,NG2QGCEEQ2,,JACYRJVZA6541ZE8OAY4H8WVTZDFX8VF3SML9CYMT,,W5F2MICMBP5YE8T
CUS0000098,FR,BCVDVCZHN738JOECJ5B4CPIA,TG3KEGH5OE,,,,ZUH8IUNCLVEHRJ0
CUS0000099,IN,K2PCIGYKB5FAALFS04INJR720PL,,,5FTW0A9PMH7GX86O3NRDM,,5LKCDXSN1QV3
CUS0000100,US,8LKB56HEP2U,OHUOGP0MYO,45D1JN3LY,MWRMVICDRIH330KVOSKK9OF075N43RA1PPU1OJA,,6C17Z4G25PF9
CUS0000101,US,NIWSPFB4TK3B33IZLX3AEYV,,1R8NFVD6XDH,CXXL9E9NIVP8H4NOUWR61RDEXW2567H488S2XEM,,ZLSEGK
CUS0000102,DE,5JN7BS08I4W02B,BO7V0VU579,,ITKQO4XSDJWS3KK8SLLJKPHCUI2QX,,UWJX2
CUS0000103,IN,BZ5J3UJA86VS4,,,,,J2VH4CI9HTBZO2W
CUS0000104,US,M7ORMBF82F6ZM5U6DXZJ1XYXASWWT,,N202SK10I,,,47VEYFA0R
CUS0000105,FR,IMLYS95CTT593OBAJQT4HS0L,BHR5EX41Q4,,,,BQKDJU3IWKDRX0
CUS0000106,DE,7E6MLGK8UUTRXG8WJAI,,,0VKGNJ6OM9789H03EHIB4WTXI27VLTBHOIJOTINIF,,EB41CM
CUS0000107,US,D4HQCETAGHNMLWBFJRWWK6P6EG,,7NMSK8AGN,,,L2GLWY1N6O0HUH
CUS0000108,FR,5XS9CFU5HYS3T2,S1ME4XLA5G,,FHJZZGKEXMVMZHO15RRZW4Z56RJ3GHQ55OIBGDE5BLY,,GE753MS55
CUS0000109,DE,8BC1HY2UY23CCL9TK51ITY5H598,,,6DZQ5YWSUDBCIXWBVYG1,,DPPPTFETHV
CUS0000110,IN,C3160RB4BUYYUG5GNV56,,,,,M5E8NSQDTZO
CUS0000111,US,GVRE741NWET6T18UM0ZQ639LB7L5,R81D7MX3JP,T10UEN0RSK,PZPHJMBPT35911CMKRIBQR9LC5BDFUTE0XFZIPH6H77Q5FPH,,YP1NJGLNR20QD5
CUS0000112,DE,U814PRJX4XTBC,,,,,PQ9YTXH8P2YAZQT
CUS0000113,US,,,NK2U0CRF540,,,KQ6EW0
CUS0000114,DE,DL2IAZMTUF,7I0U24IQLU,,,,ZYOBB9O
CUS0000115,US,,DZ1QJFXKHA,35HONMRS5YI1,,,M0L0JBSQP
CUS0000116,FR,,FA4IUZNY1Q,,DDVP4WCAQ6YTZXI9CLQK65V3IFU71JQHUCI5RX1SQQ7U1,,J92DMJDOLC4Q
CUS0000117,IN,H5C2W9535HJHWFNSLK6RNA7,,,P5GVBSHZXGUJBF,,3RAVC2UINDSU
CUS0000118,US,YFZQLPZFBNKYZSJHT51TIWGX6M5,4R1F1XL11F,6V3OJ577F,F4TJITP71SD9EC6G610G3QWQF6BH3LLZCF0TU,,2QVLNLFQG18BAZH
CUS0000119,US,3Z5TXZTFIIAMHBMBN4JP18MFT,,41BHKJ254B,,,ZDVAG1059SC5Z5
CUS0000120,FR,7B1U9ER04H5,,,,,SM4W2O6
CUS0000121,IN,3ISY0X4KNSF4ILMK5G05,9DBWQWKL6C,,,,H9O5QVWC
CUS0000122,DE,,,,,,23HGG
CUS0000123,US,HNXKS265GJXVIHM,AP4VS6KFRX,XPJ70OI10037,,,A7EFVUZ
CUS0000124,IN,CJD7S0Z9TUWAR7JZ2N82WZ,,,,,I78SNF69T7V
CUS0000125,IN,QPT16HDXQ6WHDH2TA3VP8OWTSIY,,,7MX3GJ10FFD1I4N2EX7Z97ZQ51250K,,I67HN34CK9XH
CUS0000126,FR,SC7JHXTXTS5BJJ0DTSNL5,EC04T2VY4I,,,,2JUF0YOZV8C2
CUS0000127,DE,BT9H9FM8D7M46BH,,,RNP2F8UZC5B,,7UYQF
CUS0000128,US,,,JLQFJT0KDUL,TYGUJ0UQYHDMP,,66YHRDU390E4
CUS0000129,US,BR9GP9IT02F6NJX8K,,92CA3SKAD4RQ,,,N6SCK8ETFZHI9R1
CUS0000130,IN,VQ2RPUVN3VBIA4AAL095,,,8B2HWYWYLAH3XM,,RWMFT
CUS0000131,IN,XCR5NAMZHR65K9MLEIEIQO7RM,,,Q93A1DU10RH735X7CODR082UAZMVFBO1EPMKVTEGB41B,,QPG4PVDV7P
CUS0000132,US,2G2HFDCYUEID2DT1EGD9DSYZG0OA3,GVB37VMGGA,MI6QW042L,DIT16WT8JJ4T,,7JDP6
CUS0000133,US,MMEVM43VVT0VKG3C,OO3NP4VYNZ,AXAEWB9HJS,XCBMMSLOQLV9PLMBLQGBIYHVNT3PXXK71EHJIMM8YXU1PCM8SJ,,I65NF4EK6
CUS0000134,FR,6X573LUX7454RZCNOM2PZNT1YKXQ9F,S27WOC36V1,,0X5URYBL2OQEWFS668FROGHEXC8MVMVQTRMI8,,SWZZA46JZ
CUS0000135,IN,4O7933VFUM10N229,ITA5WVO01Z,,,,BCIJVZYNZE8YM4
CUS0000136,US,TFKG9LC5BLMEYSNOS7E3DX7A,ZKHI804EYN,NT14KTM63R,2EZP7V533CFS3WTZL0P,,3YLGZCPKR8S
CUS0000137,US,509HXEG6U02KQN6C,3YVZMZCAQH,U353EF9P2I,KKBGLSH8ZKEARJ2WLNC8N2D7GYT,,YMPXP
CUS0000138,IN,BAVMEOGKKC06GUU9MN8Z1HO,ULAZUAYN3O,,XCEN0T5G8KQGUYIVLU4EVB2Y6O6,,BHTP1PFD
CUS0000139,IN,MJYNCP2VIRUC70SBOVV,POY7UL2AE5,,DJNIFL9NP6F13TKMP1LPTS,,R4FXZYK4
CUS0000140,FR,1J4BY1FT8J9LQY3T3SY94EVI4MJMA,5Z0ZXY5TE0,,,,KM1QW65XDY1PP4
CUS0000141,US,,JQ3JQPKAHF,ZF7M1K1QT68Y,FGWJRNZTAK5AGE070S1KLXLIM5L6H2NLMDLM,,2GKFSFYHREV
CUS0000142,US,5GADRACGN7AY7R54V1VXVUPXZ,WVGA3ZIBH7,PX2460MAUBX,,,2O5ZFW14GYSMJ76
CUS0000143,US,T93K2H48PPNK,,G1BKUYROQ,,,I85FVOEVYY91OOQ
CUS0000144,US,FVMHXIUYATD8M,,UXI7OGZA83UJ,,,3JSJCUT6HR4N5SY
CUS0000145,US,,ODL5ZTKB9Z,14WZZE7SSM9,UDT3KI24SJNNMAXGJY,,DGW4LDH
CUS0000146,DE,ZPCHPZ5TLYF3YR,,,HHFH56OB4R,,LY41TIGUE8LZBZ
CUS0000147,FR,8HNHLLA92UHCINKF9QCFH6TX8K1A,7S82I5U7W8,,CPCMJTNI9NWRI1E9,,Z3FQ1J8
CUS0000148,IN,MX6K0JU1YBPERH8H90,XVRJORAGYO,,HL7T5G7WS9RGDKUY,,89Z4IQA6JIJYRDX
CUS0000149,IN,3L2W36SR17OTFT0UFFEPFKD,95A16I4568,,,,18WP7
CUS0000150,US,7OLEXI6WD15YKXH,8HST4SQNAZ,T6C35DWA3V,AWLZWAG15MF76J0H,,QO4ZXTX1L8RG22K
CUS0000151,IN,AWMHMSCIZ0VCKM4RH0595IU,,,,,IHGBIJW6APD
CUS0000152,DE,A14SS5F1PJ6LPRHQP1M4G6LMJOHIZ,J1BMFDY07T,,,,4D61DTHRXRW
CUS0000153,FR,LCADUNS4RG1,XVTHGA9IVX,,,,XPRNYFGIHCMM2
CUS0000154,US,VT4M8JCIM09Q9WX2H1E4076BKRI,MZ586EK26Y,ZRNLAKNA6367,SR9HKOC8PSCJRIRDPN8HAWXU,,QI0SUDAWORLQB
CUS0000155,US,Q9N2OURNZJ2O1XJ4F5L3LL,LSBTKLZMEJ,1P3ZG7IAG,HACIPFRJAAG,,MI42KT
CUS0000156,DE,D8R8HBCG8SG60JAOB,JWSOYH5KHO,,WEVHXFCJL17VL1JTSWGR5XQEAJJU,,EH1RJFUILYWU
