CUSTOMER_ID,CUSTOMER_TYPE,COUNTRY,EMAIL
CUS0000001,STANDARD,US,OIG8F1CBFNO6B9M80
CUS0000002,STANDARD,DE,
CUS0000003,STANDARD,IN,RJNVGFYGWWQC38HYF9SX
CUS0000004,STANDARD,US,SFOGYR3XKXWNREK8P
CUS0000005,STANDARD,FR,9OUDOCUZRENUN5Z3JQIP98Q1ZXOI65
CUS0000006,STANDARD,US,
CUS0000007,STANDARD,IN,EYY37Q9AH8RVHS1K3AQ6L6G
CUS0000008,PREMIUM,DE,
CUS0000009,STANDARD,IN,87AU5BHXTPDPFF5
CUS0000010,PREMIUM,IN,9KQ71N8MTZX272HPOEVB9OOAE
CUS0000011,PREMIUM,US,VE6PR5N8I4P
CUS0000012,PREMIUM,FR,1W103DGDZVGPM
CUS0000013,STANDARD,FR,R3PE29GD8AFPK05
CUS0000014,STANDARD,FR,
CUS0000015,STANDARD,US,
CUS0000016,STANDARD,FR,5JMSND8DUDD467KD6FLEEPZHPCF
CUS0000017,STANDARD,DE,
CUS0000018,STANDARD,DE,IT3UEA3GE8N6QIWEPXSK28
CUS0000019,PREMIUM,US,TGIQHG9JRSNVNQ65QDF1RCAVIQK
CUS0000020,PREMIUM,FR,EJ8CX9J1ICTXC
CUS0000021,PREMIUM,IN,W90JPKL0BLV0P
CUS0000022,STANDARD,US,4OM3WTOOBMZ
CUS0000023,STANDARD,US,
CUS0000024,STANDARD,FR,VBHQLQCG1WU16HYMQC1A78MX1EV
CUS0000025,STANDARD,US,6T0UZS9IM0YLTZ9ATSN
CUS0000026,STANDARD,DE,N64KFS6VFPTOMJBCP4E30MY5
CUS0000027,STANDARD,IN,G1OL73D9PH
CUS0000028,STANDARD,FR,U26192K42QPR75PR2ESPRVU8FIJ
CUS0000029,STANDARD,IN,00V830DN0YBY
CUS0000030,STANDARD,DE,088O5OR15BYVZK3I8BZBF1
CUS0000031,STANDARD,FR,YUN3UVYR0QF4B8DWOE
CUS0000032,PREMIUM,US,MBJPI4HN3QXKHKTGB
CUS0000033,PREMIUM,FR,EPGTHCW81XE6VA05
CUS0000034,STANDARD,DE,J1L7R8431RUPFR2P3YVB5UL5
CUS0000035,STANDARD,DE,R9A7MFP059P452BFSOZPTX497W19V
CUS0000036,STANDARD,FR,OHMUH8LMN4R7SGMSOX
CUS0000037,STANDARD,US,RCD9SI5GAS442V
CUS0000038,STANDARD,US,HEZ5EDJJTFPH90O7Y22T1TDGN
CUS0000039,STANDARD,DE,PL9EKA024SCOSS3
CUS0000040,STANDARD,IN,
CUS0000041,PREMIUM,IN,OJRJEDKTS2H3TZR6852FC1UQBFO
CUS0000042,PREMIUM,US,
CUS0000043,STANDARD,DE,472RL15F4W0VUGK
CUS0000044,STANDARD,FR,9C3FUQUHZ6A830DM7X52DN
CUS0000045,STANDARD,IN,
CUS0000046,STANDARD,FR,PKT9A90FOH3HJ5S6R044P39JYM6IER
CUS0000047,PREMIUM,FR,RAST5J284WV98Y3UMPYO0CU4YY
CUS0000048,PREMIUM,IN,I6VG2G73AJ0
CUS0000049,PREMIUM,IN,VZFV8YU58CEPSOF1GG
CUS0000050,STANDARD,DE,
CUS0000051,STANDARD,US,1JP70LKLFYP5JO3Q3QA3S
CUS0000052,STANDARD,IN,T1Q3TMY4GPYWSSBZRAD5S
CUS0000053,PREMIUM,IN,OMQIGCT2CXIFSU0LMI8X7
CUS0000054,STANDARD,DE,
CUS0000055,STANDARD,FR,
CUS0000056,STANDARD,DE,
CUS0000057,STANDARD,US,Z9XFZAQ8H3XQYXGO4
CUS0000058,STANDARD,DE,
CUS0000059,STANDARD,US,T0HICCT5HGP8IY3X80J0G50R
CUS0000060,STANDARD,DE,PXGX8WDZRMH3FNBDVPINE9NN
CUS0000061,PREMIUM,IN,ARJI8QLHBIAWPU
CUS0000062,STANDARD,DE,7HE42X6G26OC7T3BD4Z1G52
CUS0000063,STANDARD,US,EIR9UY7S361GH9
CUS0000064,PREMIUM,IN,0V3Z0GU1UQXJ4EFFF
CUS0000065,STANDARD,DE,
CUS0000066,STANDARD,DE,W1DSTWG6NJ4OGW9XHRO199B
CUS0000067,STANDARD,DE,TVWALJZEJBF7NY03VK
CUS0000068,STANDARD,DE,FDJKDFR21520RN6HW1HS57TCOZDA
CUS0000069,STANDARD,IN,SUHA51LIY8O69WEZC1
CUS0000070,STANDARD,US,
CUS0000071,STANDARD,FR,SHZBUK3XF1GP1Z7FZTVOVKE
CUS0000072,STANDARD,US,WWJPGJQMLJEL532U
