CUSTOMER_ID,CUSTOMER_TYPE,COUNTRY,EMAIL
CUS0000001,STANDARD,US,customer1@example.com
CUS0000002,STANDARD,IN,customer2@example.com
CUS0000003,PREMIUM,US,customer3@example.com
CUS0000004,STANDARD,US,customer4@example.com
CUS0000005,STANDARD,US,customer5@example.com
CUS0000006,STANDARD,US,customer6@example.com
CUS0000007,PREMIUM,US,
CUS0000008,STANDARD,US,customer8@example.com
CUS0000009,PREMIUM,US,customer9@example.com
CUS0000010,STANDARD,DE,customer10@example.com
CUS0000011,PREMIUM,IN,customer11@example.com
CUS0000012,PREMIUM,US,customer12@example.com
CUS0000013,PREMIUM,IN,
CUS0000014,STANDARD,IN,customer14@example.com
CUS0000015,STANDARD,US,customer15@example.com
CUS0000016,STANDARD,US,customer16@example.com
CUS0000017,STANDARD,US,customer17@example.com
CUS0000018,STANDARD,US,
CUS0000019,STANDARD,IN,customer19@example.com
CUS0000020,PREMIUM,US,customer20@example.com
CUS0000021,PREMIUM,IN,customer21@example.com
CUS0000022,STANDARD,DE,customer22@example.com
CUS0000023,STANDARD,US,customer23@example.com
CUS0000024,STANDARD,US,
CUS0000025,PREMIUM,US,customer25@example.com
CUS0000026,STANDARD,DE,customer26@example.com
CUS0000027,STANDARD,US,customer27@example.com
CUS0000028,STANDARD,IN,
CUS0000029,STANDARD,US,
CUS0000030,STANDARD,US,customer30@example.com
CUS0000031,STANDARD,IN,customer31@example.com
CUS0000032,STANDARD,US,customer32@example.com
CUS0000033,PREMIUM,IN,
CUS0000034,PREMIUM,US,customer34@example.com
CUS0000035,STANDARD,IN,customer35@example.com
CUS0000036,STANDARD,US,customer36@example.com
CUS0000037,STANDARD,FR,
CUS0000038,STANDARD,IN,customer38@example.com
CUS0000039,PREMIUM,DE,customer39@example.com
CUS0000040,STANDARD,IN,customer40@example.com
CUS0000041,PREMIUM,IN,customer41@example.com
CUS0000042,STANDARD,US,customer42@example.com
CUS0000043,STANDARD,DE,
CUS0000044,PREMIUM,US,customer44@example.com
CUS0000045,PREMIUM,DE,customer45@example.com
CUS0000046,STANDARD,US,customer46@example.com
CUS0000047,PREMIUM,US,customer47@example.com
CUS0000048,STANDARD,US,
CUS0000049,STANDARD,US,customer49@example.com
CUS0000050,PREMIUM,US,customer50@example.com
CUS0000051,PREMIUM,IN,customer51@example.com
CUS0000052,STANDARD,US,customer52@example.com
CUS0000053,STANDARD,IN,customer53@example.com
CUS0000054,STANDARD,US,customer54@example.com
CUS0000055,STANDARD,DE,
CUS0000056,STANDARD,US,customer56@example.com
CUS0000057,STANDARD,US,
CUS0000058,STANDARD,US,customer58@example.com
CUS0000059,PREMIUM,US,customer59@example.com
CUS0000060,STANDARD,US,customer60@example.com
CUS0000061,PREMIUM,IN,
CUS0000062,STANDARD,US,customer62@example.com
CUS0000063,PREMIUM,US,customer63@example.com
CUS0000064,STANDARD,US,customer64@example.com
CUS0000065,STANDARD,DE,customer65@example.com
CUS0000066,PREMIUM,IN,customer66@example.com
CUS0000067,PREMIUM,DE,
CUS0000068,PREMIUM,DE,customer68@example.com
CUS0000069,STANDARD,US,customer69@example.com
CUS0000070,STANDARD,US,
CUS0000071,STANDARD,IN,customer71@example.com
CUS0000072,STANDARD,FR,
CUS0000073,STANDARD,IN,customer73@example.com
CUS0000074,STANDARD,FR,customer74@example.com
CUS0000075,STANDARD,IN,customer75@example.com
CUS0000076,STANDARD,IN,
CUS0000077,STANDARD,FR,customer77@example.com
CUS0000078,STANDARD,IN,customer78@example.com
CUS0000079,STANDARD,US,
CUS0000080,STANDARD,IN,customer80@example.com
CUS0000081,STANDARD,IN,customer81@example.com
CUS0000082,PREMIUM,US,customer82@example.com
CUS0000083,STANDARD,US,customer83@example.com
CUS0000084,STANDARD,US,customer84@example.com
CUS0000085,STANDARD,US,
CUS0000086,PREMIUM,US,customer86@example.com
CUS0000087,STANDARD,DE,
CUS0000088,PREMIUM,US,customer88@example.com
CUS0000089,PREMIUM,IN,customer89@example.com
CUS0000090,PREMIUM,IN,customer90@example.com
CUS0000091,PREMIUM,US,customer91@example.com
CUS0000092,PREMIUM,US,customer92@example.com
CUS0000093,STANDARD,IN,customer93@example.com
CUS0000094,STANDARD,IN,customer94@example.com
CUS0000095,STANDARD,US,customer95@example.com
CUS0000096,PREMIUM,DE,customer96@example.com
CUS0000097,STANDARD,US,customer97@example.com
CUS0000098,PREMIUM,IN,customer98@example.com
CUS0000099,PREMIUM,IN,customer99@example.com
CUS0000100,STANDARD,US,
